list,sale
756125.0,865827.8145466471
753875.0,745210.7122231729
755125.0,754404.7952141786
757625.0,749554.311062146
762000.0,758569.3302087369
769250.0,764060.4774323552
777125.0,792066.9757167565
778875.0,788987.5079449163
783875.0,775145.3839280467
787875.0,793649.2967584797
791000.0,813174.8908087892
797125.0,801813.0712283719
798125.0,804801.7714875303
799125.0,791761.361289887
799125.0,789284.736169099
799225.0,790519.1006342381
799450.0,790600.7332901426
799450.0,791319.3079520499
799575.0,831216.7874036091
799350.0,789056.5294888504
799125.0,859147.4387269209
799350.0,803186.4969055493
799225.0,814334.8444247578
799225.0,788585.898775173
798225.0,794979.3862926274
797000.0,789530.5128625464
793750.0,787024.4370320924
789000.0,784567.1473850805
785000.0,775519.4747607493
778500.0,772162.1104556633
772625.0,774109.1819149558
767375.0,760507.1516331753
762606.0,752943.9607764283
760331.0,759574.8168366263
759456.0,777601.7727476263
757206.0,758988.880460744
754725.0,754611.6235523071
752250.0,757499.572476502
750000.0,775204.6105956389
749975.0,858785.5383893162
749725.0,748716.2439018517
749225.0,743259.6700752629
746913.0,755191.8270132288
745688.0,742721.6088783013
743188.0,780135.7251479442
739938.0,729964.5177599613
737250.0,737139.2486852012
733475.0,757920.9161732048
731225.0,742064.4779282279
729725.0,745131.4311293113
729475.0,720000.1854083072
729000.0,719261.0704381741
728750.0,722063.7672476711
728750.0,743270.4621980953
728975.0,711836.9711227124
730725.0,735013.0960768795
733475.0,732745.5263289863
738435.0,761155.7742130201
743210.0,738757.5125038894
746935.0,764807.2229520195
751685.0,755574.1579863478
755725.0,789971.7698213579
760975.0,743952.071707621
767250.0,772120.9582592322
772250.0,783026.1249058609
777250.0,781766.033952901
782000.0,766133.9686592586
785500.0,772585.4634426098
790250.0,802643.8435174917
793750.0,819817.1974693212
796250.0,822499.9292814796
798750.0,829265.9772061887
799125.0,789311.6678408016
799347.0,783509.3733180339
799347.0,784533.0416511626
799347.0,792794.3095971252
799222.0,790200.1950154431
799000.0,804586.1063405522
799000.0,785458.4793524168
799225.0,785743.4020767327
799381.0,792969.808775415
799588.0,895383.1746035463
799813.0,814184.423966841
799588.0,788888.3229685862
799431.0,808761.9532327667
799225.0,865275.8834552261
799000.0,804555.1018311294
799000.0,803844.2380381038
799000.0,786518.589054511
799000.0,828518.2205315499
799000.0,852600.4867489518
799200.0,867970.1716931374
799425.0,779158.7106644857
799650.0,815314.9724542394
799650.0,784795.4067875827
799450.0,790160.7996899072
799475.0,813162.5676070747
799313.0,792515.4706578812
799313.0,787691.906358925
799313.0,830944.4192101316
808475.0,814088.2034772596
803725.0,791196.5396124099
802337.0,794682.2352601424
804838.0,826698.5528902969
811113.0,800299.038203504
820863.0,819327.4256385369
830750.0,837187.9869555794
840750.0,837465.4730387098
849361.0,874304.0631653329
852111.0,849414.1604196685
852111.0,870249.3150753113
849361.0,836110.696371187
842000.0,914795.9513992236
836125.0,851167.2865712737
830125.0,840460.4596546618
826625.0,833061.4914063066
826375.0,840891.3906310803
829750.0,869607.5016424836
835750.0,813282.5802988454
842000.0,876119.5377420145
847250.0,881185.3730420201
854500.0,890033.1483018391
861000.0,883486.4068288106
869750.0,855450.2951358496
881000.0,913144.59803977
888500.0,874034.1224071605
892250.0,907243.5594334294
895750.0,894895.6733164714
896750.0,883452.6432415782
896750.0,888369.669497117
899000.0,916274.558358965
899000.0,922674.3990720401
899000.0,909196.4013201538
898000.0,913898.9254956496
897000.0,887749.5122155587
897000.0,903325.2608577351
897000.0,908329.0109323016
898000.0,910974.9391137076
899000.0,888334.3264576826
899000.0,961726.9343876609
899225.0,885767.1031315136
899225.0,931088.1855588804
899450.0,882719.461201871
899700.0,886323.9529896682
899712.0,947731.5142965583
906212.0,925501.9267595748
908528.0,895881.543882104
908503.0,911008.9594020637
908513.0,900305.300348187
909513.0,895982.5299226014
918684.0,940105.9166642778
923709.0,1014985.5676635634
923461.0,933883.2930897424
915961.0,898604.515638982
904250.0,902667.4881198789
899000.0,884851.5061587027
899225.0,934748.3914323
899475.0,912961.8949032222
904475.0,893724.0057085294
905975.0,888807.7396920029
910500.0,893784.278876585
915500.0,949734.6749912697
917000.0,916082.0026030018
922000.0,914659.0354157861
924510.0,931578.1545189832
925735.0,935454.620370612
925735.0,910240.2175116494
929235.0,917968.4861531807
931975.0,919692.9939963334
933250.0,922432.5402188611
934250.0,971681.7247883155
934500.0,971955.6805923979
934725.0,927659.5113720114
936975.0,951680.5648621862
936975.0,926768.5999771844
933225.0,933015.7704984029
930725.0,920040.6900103521
928475.0,925870.1566389598
925975.0,925048.0178411282
919725.0,911839.635863043
912000.0,924803.8980846353
904250.0,905359.5690791683
899250.0,936083.1326482866
898000.0,893683.1845340907
896250.0,906991.1676995907
894000.0,926881.5208684303
893000.0,887023.7406844788
893000.0,936744.9981503604
893750.0,879807.2137545147
895750.0,895732.4336243198
895750.0,911609.0896578265
896750.0,936785.0271333919
897750.0,884318.1612358489
897000.0,906055.2843892892
895725.0,965732.6019966605
893475.0,873050.0093307318
890975.0,906134.363932213
889725.0,895773.0754502498
887000.0,901905.3373129189
884738.0,874077.9551139217
882488.0,869996.7890809705
881988.0,874426.1782115019
886738.0,878813.0419874289
890250.0,880692.9027043029
894000.0,892252.8989321821
896625.0,900849.4540262272
896875.0,926571.7228398408
897875.0,897022.2778303338
898875.0,893691.2700593383
899250.0,885437.2625581247
904500.0,894895.6760860195
911000.0,903252.6604338099
918875.0,947348.4687024279
928278.0,933737.4114897044
935528.0,929941.0342580129
941278.0,933562.8744210096
945903.0,978374.0234065212
947750.0,939694.1397178444
947975.0,930793.5679530696
948475.0,938144.3280311499
948725.0,954496.0272314078
949975.0,942596.2042536935
950000.0,939626.4425859016
950000.0,988406.0734353156
950750.0,985710.3943230702
952000.0,987006.3585543653
952000.0,958979.8565068614
952000.0,973544.9801333147
951000.0,962932.7464707547
949500.0,940471.0333340771
949250.0,976482.0102713131
945500.0,935941.5820398871
940500.0,931296.1987009961
934500.0,927879.6035149646
928500.0,941689.3129687236
926000.0,975614.2352912602
925000.0,921986.6968412801
922500.0,950560.7180478699
921500.0,920529.5798620558
917750.0,911034.3220052375
911500.0,952994.367901387
907750.0,925011.3986391412
902475.0,890930.3868886449
899725.0,901970.779329748
899475.0,894088.8182413316
899225.0,934156.8735956576
899000.0,949097.2887113766
899000.0,893631.1791821875
899000.0,905008.815457532
899000.0,913099.4183134768
899000.0,888671.2232076477
899000.0,899614.9628404817
899000.0,889180.0949185886
899000.0,901152.9641331312
899000.0,894567.8951086183
899000.0,929819.7006574804
899000.0,883785.7841192944
899000.0,889948.7571390473
899000.0,889987.0724508944
899250.0,880487.2369903484
899937.0,928798.2297192219
906687.0,902732.1034931742
914187.0,902761.6815119847
926438.0,919292.7405640484
851738.0,840538.0423554394
859488.0,866524.835142914
871988.0,901606.0758608334
884488.0,943469.7236648956
894750.0,902442.7839277057
911000.0,892624.7701128236
922500.0,907270.6776081384
930247.0,926781.427900983
942247.0,955340.6590539784
943497.0,938895.6513648528
944497.0,972234.0042817894
953875.0,960429.7795626386
963875.0,964924.2772907185
975125.0,964532.2717592749
985236.0,982552.1519784213
992111.0,1000022.5064911706
993611.0,1014929.2490371555
993611.0,1135290.8202737537
995750.0,988075.630686498
995750.0,995705.6003089623
993250.0,992737.2250567062
985750.0,1037867.7573333267
973972.0,946518.8062622378
962472.0,945950.8377316542
949597.0,940362.294760372
940828.0,945607.5457150708
927856.0,923350.8870448633
915356.0,893300.8737935965
905731.0,911180.0739271375
895500.0,938291.6103241399
894500.0,924301.1884371269
894250.0,884811.8257049202
895250.0,888653.6953649676
898000.0,909925.270047309
899222.0,889071.3716116133
899709.0,893108.9036522739
899709.0,886594.2074095842
899460.0,893550.4759462203
899238.0,945440.6556024896
899000.0,905812.6752989577
899000.0,951055.8000782107
898750.0,883912.7604339451
897750.0,940113.7517081539
893000.0,872304.6439390557
885250.0,934581.0621042782
875625.0,868056.9109902877
864375.0,843751.6594934574
856625.0,848619.646649532
851875.0,884776.2665060117
846750.0,826843.1088832356
846500.0,862650.1999062189
846500.0,872122.087626052
849000.0,839999.3097486766
859000.0,855578.4641889697
869243.0,910998.795980413
881493.0,855647.1198724854
891493.0,881514.1312891337
896493.0,897496.5290312632
898975.0,920360.7538072908
906870.0,889150.6571199702
919370.0,910019.6787189645
931870.0,919684.1565176466
943882.0,994454.3365390769
948737.0,993340.0261117727
948987.0,933000.1601382905
955487.0,986986.4865675016
964750.0,945317.040033582
974500.0,1051055.684924601
984000.0,969652.087285098
987500.0,1013072.5439446886
985000.0,978402.7442883943
977750.0,967905.8924279237
970250.0,968478.1444325579
960500.0,970116.7478740156
954000.0,938340.9032710842
948000.0,984025.4255952884
939750.0,951951.2252816372
933500.0,932747.0155675506
927250.0,954879.723663661
918500.0,906488.9928439143
912000.0,900963.1138949869
905711.0,988015.8676361402
899683.0,902775.6555170104
899671.0,898337.7000207107
912171.0,1009363.627676129
924710.0,915717.3175440356
937238.0,930679.3434356828
949750.0,934045.9846646417
950000.0,939377.5889892246
949988.0,1004311.8202554641
949938.0,985711.8840413688
949938.0,1000638.1811377908
949925.0,973058.1684119555
949688.0,938050.2855006767
948350.0,936127.0389214478
943100.0,988047.3597358259
942863.0,930977.0866549206
937863.0,933993.7324105274
932500.0,923931.4032226226
925000.0,959841.0118605441
912674.0,904300.2767876515
902660.0,892872.184469139
893910.0,883455.948127956
894135.0,903798.0636311936
906461.0,891098.2210917035
921725.0,926636.9573427251
944475.0,928943.2916281141
966500.0,943559.0789922955
976250.0,1003846.159231251
987500.0,1065221.718728606
992250.0,1095631.918592818
994888.0,983738.57195699
997388.0,1009949.5078887863
992388.0,998110.2636634327
986638.0,1005608.334292719
981875.0,971749.2221924769
977375.0,1051347.704492269
978375.0,968394.9906023353
983375.0,976493.4833532834
988000.0,1034622.5415624126
992500.0,1005840.7200068674
1004000.0,984646.7591940532
1017750.0,1054766.4300433765
1030750.0,1045338.074909554
1043750.0,1043568.3901343979
1056986.0,1059744.2851066003
1066736.0,1097649.8357645024
1076486.0,1102052.7483159855
1082736.0,1065589.1228474365
1075750.0,1128447.2920047594
1065750.0,1052393.3071360392
1056000.0,1044517.3952399743
1049250.0,1044606.2510954351
1049000.0,1038912.4286466192
1049000.0,1080124.2340595056
1049000.0,1077935.0478456577
1048250.0,1097743.6392727583
1043225.0,1050870.7442308296
1043475.0,1060736.1376609108
1043475.0,1057198.7449402115
1046725.0,1098983.4057978534
1051750.0,1032514.5390278975
1039250.0,1039268.7010379243
1026500.0,1014650.1345938257
1011500.0,1042843.6687171877
1011750.0,1034343.2806407023
1019000.0,1003115.8342281822
1019250.0,1055792.5414399728
1026000.0,1007163.8331986557
1013250.0,1069713.9352467211
1005500.0,1001408.0011024616
1001750.0,1034446.4903266055
993486.0,985747.5221306465
993236.0,1006346.294720742
990736.0,986794.7933903359
993236.0,1004245.0854320534
994000.0,985551.0154360721
994000.0,986376.8026739699
996500.0,1028075.0872811087
996500.0,980022.9783820115
994375.0,994356.8135235411
993625.0,980402.0633704597
993625.0,983123.3329096294
992125.0,1021627.0559172538
994250.0,992336.2504661782
995500.0,1002557.1499144256
995750.0,1023313.5718223025
998500.0,1002077.0198315487
999750.0,977700.546741113
999750.0,1096527.110439632
999972.0,983463.7116847321
999922.0,993763.6848472037
1011922.0,1011190.877918854
1011672.0,1004755.8251227346
1011200.0,996174.7733327677
1011238.0,1157954.0254938302
999210.0,985066.6429657927
999210.0,987052.1790237925
999210.0,1083549.2750050372
996722.0,980331.0998365835
995500.0,1047832.3575501587
994500.0,1018004.2983215129
993750.0,983962.5372321149
992250.0,1138707.6200059198
987250.0,974101.8207926316
978472.0,961074.3254152522
971972.0,970849.0685126897
965972.0,950325.2751372419
959722.0,942327.6611968203
962000.0,1044474.7820484899
967000.0,973136.1347077629
972000.0,955365.35335368
975125.0,1084435.525884338
975375.0,980311.5408372877
971875.0,963082.9863860857
970625.0,961663.1564498387
975000.0,985416.1404792751
972250.0,968009.1229070657
965750.0,960026.71700766
953250.0,931393.5463300797
939500.0,970250.5231336929
932224.0,1001222.8378823674
930474.0,970380.4881404709
930474.0,988337.1928256875
916474.0,905894.269314897
898997.0,939736.3474201479
887247.0,870619.5218855058
880997.0,866285.3250142836
900997.0,929197.7223892906
923250.0,909258.0431981182
937000.0,924733.697765417
955750.0,944123.8827985541
962250.0,944450.3823112667
972500.0,965796.9989466228
984500.0,1039361.8250682428
996999.0,978218.3254431762
1009499.0,997696.5581507059
1023735.0,1043172.2187700623
1036485.0,1023226.1082625858
1052236.0,1062858.403817891
1059736.0,1053209.302650843
1060500.0,1064308.1369771902
1066375.0,1155311.4800244116
1063125.0,1097622.8361249533
1073125.0,1093531.101255443
1085375.0,1077009.8796448484
1092000.0,1077667.2089861867
1098250.0,1083473.797593722
1099500.0,1112565.7117365631
1099750.0,1143085.0841364283
1099500.0,1080894.5833039798
1098250.0,1141264.0751633018
1092000.0,1066962.2371806419
1082000.0,1135904.9791275559
1070000.0,1076591.5593682283
1055000.0,1039553.1946432145
1036000.0,1030163.6342483519
1020750.0,1032664.1871060124
1008211.0,998353.0303080035
999211.0,1080746.2548998303
999211.0,986068.186130249
1006961.0,990723.726741174
1019500.0,1028594.4931937397
1032250.0,1154636.4703350335
1045000.0,1071694.1756480446
1049500.0,1036069.2091542812
1049000.0,1035282.475224024
1044500.0,1136607.1260936232
1032000.0,1046340.885291973
1019750.0,1019566.0610318674
1007250.0,1009878.4952436675
998000.0,1108292.273775763
993000.0,981056.8930470422
985500.0,1032030.867162703
976500.0,994022.4425130975
965250.0,964134.8345239098
957250.0,938626.7227910099
946250.0,948147.2489962328
934500.0,946571.7380032014
928250.0,918449.2755311151
928722.0,922772.0609779165
939966.0,959701.1954586033
958216.0,960279.223593265
971916.0,963096.2482701831
983194.0,972700.322913186
990200.0,982033.2682573061
992950.0,1086380.2148758562
381250.0,382015.22984092386
380000.0,375272.2289531225
382250.0,373664.5537367424
384250.0,399007.0666565663
385500.0,383440.6400235744
387750.0,386871.593067423
387975.0,400095.91868783144
388475.0,385642.70574314974
391475.0,406652.52180877863
393975.0,388460.7298415079
396250.0,396108.4169667629
398500.0,400426.98323041166
399000.0,396041.4081726644
399000.0,428968.96987585345
399125.0,404799.59688058693
399250.0,394563.3296928757
399475.0,425703.0682135674
399697.0,391887.50704977935
399772.0,393819.8826147394
399872.0,406396.115828478
399872.0,396775.24614534614
399875.0,406555.4104337154
399900.0,403604.1869565402
399900.0,412382.945075592
399875.0,402932.1635658656
399650.0,399357.0251249086
399425.0,395686.2967926589
399200.0,436318.69814029534
399000.0,400840.7514314711
399000.0,395031.0731573317
398972.0,394485.3093696606
398907.0,395223.8658080472
398851.0,408151.42635276535
398851.0,407022.05943585554
398629.0,433092.86853957374
398194.0,402975.897768785
397250.0,434187.3818542894
396224.0,429269.38071615744
395092.0,391646.8780846622
394592.0,385433.19996504445
394592.0,436636.1269673988
394619.0,392449.6392682592
394250.0,401773.66116688127
394238.0,406806.34662336373
392963.0,386237.8964505372
391688.0,388151.0287327542
391163.0,386827.2011877432
389675.0,389559.1562904074
389675.0,390455.93896928505
389700.0,406920.388209061
389700.0,392970.61095141404
389950.0,383774.51054953184
389975.0,386374.3355431045
389975.0,401595.2766090442
391225.0,383974.59328674036
392475.0,409247.62691558525
394725.0,454966.37495313765
396975.0,390257.5054180058
398200.0,402219.8598035842
399425.0,396453.5743440089
399650.0,407828.69388688396
399875.0,393785.71295858966
399925.0,401622.90196791827
399925.0,390813.04754938086
399950.0,392135.56380097737
399975.0,393879.62263411947
401225.0,396829.77374587674
403750.0,405348.32433938445
406250.0,412910.76730256993
409450.0,406704.42012192664
411700.0,414578.34791039466
412950.0,407649.1730452397
414150.0,409752.55964627146
414700.0,428431.2679712134
414950.0,416171.3376590259
414950.0,407724.48072939983
415000.0,405983.8363539708
414425.0,404858.7679514313
413675.0,409266.94057030545
412425.0,414446.8693973902
411150.0,410524.7175211621
410450.0,404927.6760503921
408950.0,418321.5950304149
406450.0,408507.1134418204
403950.0,396057.4096697207
401450.0,395231.57289246324
399925.0,396842.72819713556
399900.0,452320.646120566
399900.0,390123.3733785335
399900.0,391556.12574082887
399900.0,397193.96229650395
399900.0,398653.7527015394
399900.0,392236.5987840964
399900.0,411873.9177380561
399869.0,408761.2947718389
399869.0,401788.17955979874
399869.0,460895.43197450426
399644.0,396141.8659585872
399450.0,408574.2126143303
399225.0,399695.286732682
399000.0,409984.5474795387
399000.0,394746.3784961228
399125.0,427545.48502089886
399347.0,417686.8442518288
399572.0,395759.8491748051
399820.0,411561.4973810875
401195.0,397325.94091101404
403698.0,397710.5903675472
405973.0,404320.8457797809
408350.0,418832.54895556846
410100.0,406302.2890175612
411350.0,402516.27317321394
412850.0,414944.7806168775
413475.0,407566.75314704934
412975.0,414269.15476698225
411725.0,406208.85714235547
410438.0,403429.8789790126
409938.0,448510.531774791
411163.0,406649.12204045546
412438.0,402577.55797095044
413950.0,420865.5508572341
416448.0,412685.72020367545
418973.0,413531.1527894372
421473.0,419543.17674797296
423748.0,418050.8711063871
426000.0,423444.9544508308
427250.0,430391.8172539126
430500.0,423003.70876974723
434225.0,450266.9891242957
438187.0,433525.3409751318
440687.0,453409.9391891995
443062.0,443313.51126761606
445337.0,442828.16832553886
446500.0,447396.19704648526
449000.0,442342.05387841497
449625.0,503072.03989057033
449875.0,454792.0329798334
450000.0,451737.4939741999
451250.0,459239.29858564795
